Date,TCI,GPR
30-09-2014,23.8517201627529,97.30403
01-10-2014,23.9597391718005,108.33555
02-10-2014,25.1486706050303,57.60987
03-10-2014,24.7961909538227,103.98194
06-10-2014,24.6349912467912,95.29305
07-10-2014,24.481866557526,67.60342
08-10-2014,24.9648948124781,80.98244
09-10-2014,24.3915863286622,75.36349
10-10-2014,26.3791999835919,121.70168
13-10-2014,27.1882981296817,80.67859
14-10-2014,28.5422974021112,70.29321
15-10-2014,28.3478229789722,89.52886
16-10-2014,27.7951639888085,68.58318
17-10-2014,28.4019894877316,86.50884
20-10-2014,28.2040693541317,75.86033
21-10-2014,28.3915277896326,60.7439
22-10-2014,28.1776763569259,78.49686
23-10-2014,28.2517940558279,74.28796
24-10-2014,28.3516121553515,91.68358
27-10-2014,28.0747619118127,96.68017
28-10-2014,28.204955163996,139.37872
29-10-2014,28.6271928797913,92.36564
30-10-2014,28.0113878510156,103.40234
31-10-2014,27.734886425614,89.83234
03-11-2014,28.4395731008705,80.91042
04-11-2014,28.1018338039267,79.87752
05-11-2014,28.693843106744,103.51774
06-11-2014,28.1689768116528,41.02251
07-11-2014,27.9040712286702,90.21154
10-11-2014,25.7938181899928,57.86145
11-11-2014,25.4721477066825,77.03646
12-11-2014,25.4694691517005,57.41784
13-11-2014,24.5449190722489,61.54498
14-11-2014,24.7741204931617,77.44579
17-11-2014,24.2613930705624,136.54858
18-11-2014,23.6532947781854,87.40284
19-11-2014,23.5970597178318,92.23857
20-11-2014,23.3292179515055,89.15814
21-11-2014,22.6842401396672,110.54175
24-11-2014,22.8089739794911,142.10719
25-11-2014,22.6296786446693,163.63818
26-11-2014,22.9571416909715,119.09365
28-11-2014,21.731495277811,90.86844
01-12-2014,28.026234779394,57.56437
02-12-2014,28.2934422495464,108.90633
03-12-2014,27.8843010288652,88.44234
04-12-2014,27.8032757220468,89.80893
05-12-2014,27.559023205466,62.50128
08-12-2014,26.9974607103696,109.46703
09-12-2014,28.185247879982,72.47574
10-12-2014,27.7590444864211,107.79319
11-12-2014,27.7350578893281,81.70773
12-12-2014,27.1666133258308,77.55175
15-12-2014,26.7195631233106,66.9726
16-12-2014,27.2977647100354,136.06865
17-12-2014,27.1740388852027,144.7439
18-12-2014,27.0968242623369,122.81766
19-12-2014,26.8696098565211,110.96691
22-12-2014,26.9037213137772,74.20152
23-12-2014,26.72989155,56.84593
24-12-2014,26.509599526729,123.64172
26-12-2014,26.2917798456812,114.01954
29-12-2014,26.1960314868687,92.93777
30-12-2014,25.9004398317081,69.61613
31-12-2014,25.5342474732625,93.75191
02-01-2015,24.7208092610606,106.85702
05-01-2015,24.1824674125844,100.71996
06-01-2015,25.136332498448,66.82413
07-01-2015,25.3265935117468,78.76035
08-01-2015,24.9261667240787,168.63982
09-01-2015,25.395584156281,64.71439
12-01-2015,25.028775562797,148.07835
13-01-2015,25.8705310932751,151.55539
14-01-2015,25.6455360279972,88.39126
15-01-2015,25.03222926,132.78983
16-01-2015,24.9612617679044,156.10951
20-01-2015,24.3417385762614,175.29192
21-01-2015,24.2357574558224,148.50864
22-01-2015,23.9905110646079,98.54321
23-01-2015,22.6990988009339,109.11988
26-01-2015,22.4607712239549,135.92604
27-01-2015,23.6010403141719,95.16268
28-01-2015,23.5245604974278,146.45943
29-01-2015,24.608602217094,105.28024
30-01-2015,24.3421669046682,126.52168
02-02-2015,22.7600224739488,101.1471
03-02-2015,22.508862730169,141.25117
04-02-2015,24.3085894070805,90.69612
05-02-2015,23.8343589114676,89.42815
06-02-2015,24.3276923604623,166.44029
09-02-2015,23.7145283604851,128.99406
10-02-2015,23.1298739570827,134.2285
11-02-2015,22.8698801241529,110.84525
12-02-2015,21.7172370026902,76.61225
13-02-2015,22.0468154785117,139.63985
17-02-2015,21.9632438858808,123.74534
18-02-2015,21.7700365140729,154.67242
19-02-2015,21.514618842944,143.86008
20-02-2015,21.283632309854,136.8497
23-02-2015,21.1765707136597,168.17651
24-02-2015,21.1023253763206,149.08884
25-02-2015,20.7952556305096,114.37817
26-02-2015,20.4817314330683,95.06265
27-02-2015,19.7922816384444,105.93698
02-03-2015,19.751799998733,105.46526
03-03-2015,19.0098819548553,149.37308
04-03-2015,18.1125871777536,218.31879
05-03-2015,16.4305345477514,77.48696
06-03-2015,16.1837671249552,86.04072
09-03-2015,16.7541913319954,79.82091
10-03-2015,16.8955160364801,89.77148
11-03-2015,17.9205562600057,78.04478
12-03-2015,17.2415149883705,105.6079
13-03-2015,17.0902065031419,67.84777
16-03-2015,17.6877261812111,109.2601
17-03-2015,17.464989806895,97.2922
18-03-2015,17.259191404786,117.37445
19-03-2015,17.704309041817,55.86672
20-03-2015,17.3737124106733,94.7625
23-03-2015,17.6376131653297,98.29578
24-03-2015,17.6935750380365,100.38084
25-03-2015,17.682687033164,105.37906
26-03-2015,17.9623746764515,103.40631
27-03-2015,17.3053693346828,199.2522
30-03-2015,17.6143062486038,123.2354
31-03-2015,17.4072608368376,131.05658
01-04-2015,17.0433863890591,138.92813
02-04-2015,16.7987855555898,113.84657
06-04-2015,16.9453347039788,116.78925
07-04-2015,17.2999820212269,110.12525
08-04-2015,17.1304991286996,166.7551
09-04-2015,16.7335716076806,134.8138
10-04-2015,16.7806924857992,142.1364
13-04-2015,16.9774214199484,79.22434
14-04-2015,16.909592530647,121.64796
15-04-2015,16.8577357667916,143.65727
16-04-2015,17.5376147390585,104.71764
17-04-2015,17.1728391338772,99.06004
20-04-2015,18.2730982597006,91.73264
21-04-2015,18.2505656476712,85.28291
22-04-2015,18.2177995003933,75.5888
23-04-2015,18.6004805972914,61.07771
24-04-2015,18.8533808132372,156.40453
27-04-2015,17.7770309539093,76.04173
28-04-2015,17.700277083693,46.00788
29-04-2015,17.6900291536841,84.09904
30-04-2015,17.2385812354386,52.74789
01-05-2015,17.5590150666161,76.23861
04-05-2015,17.4783523908689,70.5957
05-05-2015,16.5572750710762,44.76443
06-05-2015,16.3735145748621,99.69424
07-05-2015,16.0489657346868,64.28499
08-05-2015,16.1931173619094,71.75237
11-05-2015,16.5129361289047,118.67455
12-05-2015,16.0179247870719,62.16615
13-05-2015,16.2963452923739,114.38424
14-05-2015,16.1358581941596,77.46539
15-05-2015,15.8097912281765,95.23632
18-05-2015,15.9907229704721,112.11768
19-05-2015,15.9521654211478,128.43558
20-05-2015,15.5503040902954,71.46402
21-05-2015,14.8874336834608,56.78687
22-05-2015,14.8786121603275,84.28925
26-05-2015,14.9609589174756,37.39996
27-05-2015,16.2149104937768,83.27684
28-05-2015,15.5304715513121,55.89259
29-05-2015,15.263211074888,55.47362
01-06-2015,15.3068772305232,106.23395
02-06-2015,14.8839495340418,65.34656
03-06-2015,15.1679300458666,129.1189
04-06-2015,14.983441503769,84.12871
05-06-2015,14.8663686063062,62.50128
08-06-2015,14.6947149766223,81.79179
09-06-2015,14.2122747529476,95.46304
10-06-2015,14.2962625706882,48.58432
11-06-2015,14.788308253697,54.96517
12-06-2015,14.7307641296404,41.64371
15-06-2015,14.6804182543182,63.19684
16-06-2015,14.544643779384,114.22647
17-06-2015,14.4520637110911,79.92791
18-06-2015,14.4025064904742,83.08512
19-06-2015,15.1204204207383,44.2749
22-06-2015,15.8024357387941,90.68221
23-06-2015,16.0985518787325,103.51774
24-06-2015,16.0874221452102,84.81681
25-06-2015,16.1442741995887,131.00549
26-06-2015,15.9641232686064,81.48998
29-06-2015,15.857658612226,136.92648
30-06-2015,19.4566503592733,169.31866
01-07-2015,19.3736783762879,93.14066
02-07-2015,19.0915816976993,84.56055
06-07-2015,18.9931909151728,109.32567
07-07-2015,22.1751480558052,82.08987
08-07-2015,21.4292194049569,61.7839
09-07-2015,23.0206176098528,58.62952
10-07-2015,23.110263799752,107.38997
13-07-2015,23.5932015801191,123.06753
14-07-2015,23.8279249236643,67.70211
15-07-2015,23.6950965668864,229.978
16-07-2015,24.360509360517,117.64947
17-07-2015,24.1074037676875,146.96043
20-07-2015,23.7560289042232,125.31095
21-07-2015,23.3250790589745,193.97919
22-07-2015,22.9607647928084,152.95497
23-07-2015,22.2912369724784,87.72247
24-07-2015,22.2359433148998,113.35783
27-07-2015,22.4420416568674,171.43506
28-07-2015,22.9252468654663,132.92807
29-07-2015,22.3079945877894,99.94816
30-07-2015,22.1102930269971,74.98489
31-07-2015,21.9272413377105,72.2742
03-08-2015,21.2925809964677,28.45848
04-08-2015,21.0219325917419,155.1035
05-08-2015,20.8299968881796,77.82832
06-08-2015,20.1068104943467,128.79973
07-08-2015,21.3781740397495,90.13789
10-08-2015,21.43757814,88.92799
11-08-2015,22.3239017250134,93.79849
12-08-2015,22.4054595675595,97.42846
13-08-2015,22.2336966701825,110.11305
14-08-2015,22.0827761099172,78.32218
17-08-2015,21.6609721206874,95.60891
18-08-2015,21.1437450896217,88.54347
19-08-2015,20.4873284357393,121.07337
20-08-2015,20.9950049217745,28.84674
21-08-2015,22.7644721173722,86.26478
24-08-2015,23.0874459987963,103.35625
25-08-2015,25.6393078304335,58.11522
26-08-2015,25.2906025215403,79.10609
27-08-2015,24.9173486599732,85.70679
