Date,EPU,TCI
09-03-2012,76.37,27.7223392197638
12-03-2012,130.28,27.6089537258137
13-03-2012,59.01,27.0693098990788
14-03-2012,101.42,26.8851227173768
15-03-2012,83.56,26.9712640678124
16-03-2012,106.65,26.8217147871509
19-03-2012,105.58,26.7038211361591
20-03-2012,63.51,26.6603848012228
21-03-2012,66.71,26.5854343445175
22-03-2012,75.81,26.6114321274595
23-03-2012,74.64,26.8357264759844
26-03-2012,135.98,26.9179451257955
27-03-2012,84.91,26.7825088887235
28-03-2012,80.81,26.794181826665
29-03-2012,99.07,27.3209424767498
30-03-2012,131.3,27.9792078585497
02-04-2012,71.2,27.553047806846
03-04-2012,117.31,27.4930362969717
04-04-2012,78.88,27.1229139224408
05-04-2012,58.01,25.3594527265413
09-04-2012,87.04,25.2025276726039
10-04-2012,78.05,25.5221628991693
11-04-2012,167.23,26.1374694681761
12-04-2012,43.06,26.4453301826789
13-04-2012,63.72,26.4380990405094
16-04-2012,78.95,26.4113145706006
17-04-2012,82.11,26.2703139841845
18-04-2012,90.56,26.1971408209859
19-04-2012,89.96,25.9708395151826
20-04-2012,35.44,25.7410401404037
23-04-2012,61.67,25.4076030051754
24-04-2012,199.47,25.5691740239375
25-04-2012,87.5,25.4241040040161
26-04-2012,89.07,25.0216251678407
27-04-2012,177.79,24.6066811530829
30-04-2012,111.81,24.5177687509753
01-05-2012,91.67,24.2807659019956
02-05-2012,125.35,23.4636289029285
03-05-2012,81.3,23.0330883076879
04-05-2012,87.03,23.6045604719727
07-05-2012,164.79,24.6325565337801
08-05-2012,218.27,24.9054395672219
09-05-2012,159.06,25.2175440511004
10-05-2012,72.03,24.6499072921016
11-05-2012,81.38,24.1495597562617
14-05-2012,124.65,23.9040226505793
15-05-2012,146.71,24.6549405744981
16-05-2012,117.36,25.0791214614455
17-05-2012,93.44,26.0170818381529
18-05-2012,130.74,26.0133733055392
21-05-2012,206,26.8069659551033
22-05-2012,129.21,27.5058938177939
23-05-2012,93.86,27.2918845839411
24-05-2012,99.17,27.4866909029395
25-05-2012,106.54,27.3024052066415
29-05-2012,111.45,26.979334955892
30-05-2012,75.26,27.127161417058
31-05-2012,108.36,26.7817967403865
01-06-2012,169.4,26.4141766332922
04-06-2012,173.04,28.6400770225402
05-06-2012,101.15,28.4714834226475
06-06-2012,148.17,28.1601245632441
07-06-2012,151.88,27.2148806156657
