Date,Carbon,TCI
30-10-2014,129.53,28.0113878510156
31-10-2014,128.13,27.734886425614
03-11-2014,132.72,28.4395731008705
04-11-2014,130.93,28.1018338039267
05-11-2014,134.12,28.693843106744
06-11-2014,133.72,28.1689768116528
07-11-2014,136.31,27.9040712286702
10-11-2014,135.51,25.7938181899928
11-11-2014,137.1,25.4721477066825
12-11-2014,138.1,25.4694691517005
13-11-2014,136.91,24.5449190722489
14-11-2014,133.53,24.7741204931617
17-11-2014,139.09,24.2613930705624
18-11-2014,141.48,23.6532947781854
19-11-2014,141.87,23.5970597178318
20-11-2014,140.28,23.3292179515055
21-11-2014,141.08,22.6842401396672
24-11-2014,142.07,22.8089739794911
25-11-2014,143.46,22.6296786446693
26-11-2014,144.85,22.9571416909715
28-11-2014,141.87,21.731495277811
01-12-2014,142.47,28.026234779394
02-12-2014,137.9,28.2934422495464
03-12-2014,138.7,27.8843010288652
04-12-2014,137.71,27.8032757220468
05-12-2014,134.13,27.559023205466
08-12-2014,134.13,26.9974607103696
09-12-2014,135.72,28.185247879982
10-12-2014,131.95,27.7590444864211
11-12-2014,135.52,27.7350578893281
12-12-2014,133.94,27.1666133258308
15-12-2014,138.5,26.7195631233106
16-12-2014,138.9,27.2977647100354
17-12-2014,140.29,27.1740388852027
18-12-2014,141.28,27.0968242623369
19-12-2014,142.07,26.8696098565211
22-12-2014,142.67,26.9037213137772
23-12-2014,145.64,26.72989155
24-12-2014,148.02,26.509599526729
26-12-2014,148.02,26.2917798456812
29-12-2014,145.64,26.1960314868687
30-12-2014,144.85,25.9004398317081
31-12-2014,145.64,25.5342474732625
02-01-2015,140.68,24.7208092610606
05-01-2015,138.7,24.1824674125844
06-01-2015,136.12,25.136332498448
07-01-2015,136.32,25.3265935117468
08-01-2015,136.91,24.9261667240787
09-01-2015,134.93,25.395584156281
12-01-2015,134.93,25.028775562797
13-01-2015,146.44,25.8705310932751
14-01-2015,143.86,25.6455360279972
15-01-2015,143.06,25.03222926
16-01-2015,143.26,24.9612617679044
20-01-2015,143.86,24.3417385762614
21-01-2015,147.03,24.2357574558224
22-01-2015,135.72,23.9905110646079
23-01-2015,136.51,22.6990988009339
26-01-2015,137.51,22.4607712239549
27-01-2015,137.11,23.6010403141719
28-01-2015,139.29,23.5245604974278
29-01-2015,141.28,24.608602217094
30-01-2015,141.87,24.3421669046682
02-02-2015,142.86,22.7600224739488
03-02-2015,141.48,22.508862730169
04-02-2015,138.9,24.3085894070805
05-02-2015,140.29,23.8343589114676
06-02-2015,139.29,24.3276923604623
09-02-2015,138.7,23.7145283604851
10-02-2015,142.47,23.1298739570827
11-02-2015,145.05,22.8698801241529
12-02-2015,148.22,21.7172370026902
13-02-2015,152.98,22.0468154785117
17-02-2015,149.61,21.9632438858808
18-02-2015,150.01,21.7700365140729
19-02-2015,147.03,21.514618842944
20-02-2015,146.44,21.283632309854
23-02-2015,153.98,21.1765707136597
24-02-2015,149.21,21.1023253763206
25-02-2015,147.82,20.7952556305096
26-02-2015,141.28,20.4817314330683
27-02-2015,141.87,19.7922816384444
02-03-2015,138.9,19.751799998733
03-03-2015,134.53,19.0098819548553
