Date,TCI,VIX
15-03-2021,27.5681528417144,20.03
16-03-2021,27.1163313891336,19.79
17-03-2021,26.9485873551638,19.23
18-03-2021,26.634065811798,21.58
19-03-2021,27.8021096862372,20.95
22-03-2021,27.6644764653932,18.88
23-03-2021,27.6639648328584,20.3
24-03-2021,28.5014269792301,21.2
25-03-2021,28.4343200990249,19.81
26-03-2021,28.2586509453473,18.86
29-03-2021,28.4774165357352,20.74
30-03-2021,28.2448787035749,19.61
31-03-2021,28.4926270060885,19.4
01-04-2021,28.438481076612,17.33
05-04-2021,28.4887111882945,17.91
06-04-2021,28.6909327009324,18.12
07-04-2021,28.3313265336917,17.16
08-04-2021,28.6936963342764,16.95
09-04-2021,28.4163044621675,16.69
12-04-2021,28.1912114783967,16.91
13-04-2021,28.4930147600842,16.65
14-04-2021,28.2099251481605,16.99
15-04-2021,27.8933901575481,16.57
16-04-2021,27.4688399788043,16.25
19-04-2021,27.3820351869702,17.29
20-04-2021,28.2334728286535,18.68
21-04-2021,27.9185383408979,17.5
22-04-2021,27.6154477176218,18.71
23-04-2021,27.1834014747216,17.33
26-04-2021,26.98759628,17.64
27-04-2021,26.8785103742038,17.56
28-04-2021,26.6471358576717,17.28
29-04-2021,26.431594918065,17.61
30-04-2021,26.4843826294562,18.61
03-05-2021,27.0192925686634,18.31
04-05-2021,26.627493209448,19.48
05-05-2021,28.4887487761483,19.15
06-05-2021,28.1272125029427,18.39
07-05-2021,27.5095678489147,16.69
10-05-2021,27.2177327958312,19.66
11-05-2021,29.7347572983306,21.84
12-05-2021,29.0131326255858,27.59
13-05-2021,29.9195146503629,23.13
14-05-2021,29.6365324054935,18.81
17-05-2021,30.6352466041255,19.72
18-05-2021,30.4192561741826,21.34
19-05-2021,30.0000683130652,22.18
20-05-2021,29.9941924211327,20.67
21-05-2021,29.7272950198647,20.15
24-05-2021,29.0337405922796,18.4
25-05-2021,28.5391067792213,18.84
26-05-2021,27.9110422890991,17.36
27-05-2021,28.074167417926,16.74
28-05-2021,27.7506121736328,16.76
01-06-2021,27.5225997146046,17.9
02-06-2021,27.5851882984215,17.48
03-06-2021,27.3492931972745,18.04
04-06-2021,27.3506423848562,16.42
07-06-2021,27.1564791431644,16.42
08-06-2021,26.5814087095217,17.07
09-06-2021,25.5199781397074,17.89
10-06-2021,25.3943118735619,16.1
11-06-2021,24.6817553073385,15.65
14-06-2021,24.4767053384842,16.39
15-06-2021,23.8425039962609,17.02
16-06-2021,24.0216886764266,18.15
17-06-2021,23.9272446545727,17.75
18-06-2021,23.5565597873069,20.7
