Date,TCI,OVX
09-05-2013,22.3245148247565,23.24
10-05-2013,21.9643271163989,22.83
13-05-2013,21.6156757620531,23.66
14-05-2013,21.1328262247466,24.12
15-05-2013,20.7132181404453,24.48
16-05-2013,21.0808807013842,24.39
17-05-2013,21.5814219865754,22.82
20-05-2013,22.1036118720292,23.44
21-05-2013,21.5178471019093,23.11
22-05-2013,22.003345918518,24.45
23-05-2013,22.0826578705796,23.3
24-05-2013,21.7751397460771,22.57
28-05-2013,20.0629615119515,22.95
29-05-2013,19.8461963411757,24.04
30-05-2013,19.4696491173228,24.21
31-05-2013,18.9158560440606,24.41
03-06-2013,18.8023915688336,24.79
04-06-2013,18.4157024954375,24.64
05-06-2013,18.2995084928905,24.49
06-06-2013,17.9242684180199,23.89
07-06-2013,17.871556570099,22.41
10-06-2013,18.0882926455249,21.74
11-06-2013,17.3519935461091,21.81
12-06-2013,18.2371719389415,22.72
13-06-2013,18.0559563358129,21.47
14-06-2013,17.625978727676,21.22
17-06-2013,17.3168281863285,21.04
18-06-2013,17.2154131815238,20.64
19-06-2013,16.8347817718318,19.98
20-06-2013,17.0582142455716,25.9
21-06-2013,20.9671628467525,23.68
24-06-2013,20.5459232504103,24.32
25-06-2013,20.7781109437077,23.63
26-06-2013,20.6102414120236,22.82
27-06-2013,22.1373983530919,23.17
28-06-2013,22.0250125825865,22.37
01-07-2013,21.91863038,22.18
02-07-2013,22.3217590640211,22.63
03-07-2013,21.9721143373299,25.7
05-07-2013,21.7392978712029,26.74
08-07-2013,21.5854978166694,25.37
09-07-2013,21.5178177529424,25.22
10-07-2013,21.3950805656206,26.22
11-07-2013,21.3421947938267,24.58
12-07-2013,21.5999916646126,24.51
15-07-2013,21.3143203925374,23.72
16-07-2013,20.3143614150924,24.5
17-07-2013,20.2338938079422,23.3
18-07-2013,20.1470147253617,23.05
19-07-2013,19.9977065855032,24.08
22-07-2013,19.9101359763224,24.23
23-07-2013,20.0694079884262,23.63
24-07-2013,19.9343281656595,23.77
25-07-2013,20.059876625967,23.37
26-07-2013,19.7863402878536,22.98
29-07-2013,19.6724258736026,22.79
30-07-2013,19.2339012068541,23.48
31-07-2013,18.6065048280568,22.95
01-08-2013,18.3087082392036,22.28
02-08-2013,17.5919732175726,22.26
05-08-2013,17.3853281170245,22.87
06-08-2013,17.255549726816,22.64
07-08-2013,17.4813314430836,22.56
08-08-2013,18.5582911658056,22.25
09-08-2013,18.1061303081698,22.64
12-08-2013,18.5649964274539,22.68
13-08-2013,18.3361707216133,22.63
14-08-2013,17.8804858995315,23.15
15-08-2013,17.9210768885181,24.15
16-08-2013,18.7532215709384,23.99
19-08-2013,18.5440413305777,23.48
20-08-2013,18.9340080525877,24.18
21-08-2013,18.3848968834494,24.33
22-08-2013,18.1859771621673,23.26
23-08-2013,17.9873007626851,22.7
26-08-2013,18.198379782841,23.43
27-08-2013,18.1334865134587,27.19
28-08-2013,20.2709012689371,29.79
29-08-2013,19.8060943252032,27.41
30-08-2013,19.7463163470604,28.1
03-09-2013,19.4964352661545,29.41
04-09-2013,18.8035763241855,28.73
05-09-2013,18.543413235621,27.44
06-09-2013,19.1164607257877,28.1
09-09-2013,18.9488641911907,27.93
10-09-2013,19.1824577246076,27.12
11-09-2013,18.6441340496553,24.32
12-09-2013,18.1955981448014,23.57
13-09-2013,18.1627080990792,23.18
16-09-2013,18.1559186176185,23.03
17-09-2013,18.0383168557388,23.17
18-09-2013,17.7222491944486,22.81
19-09-2013,18.6464275414021,21.51
20-09-2013,18.9521582847679,21.38
23-09-2013,18.5481978531177,22.27
